,FundCode,Sim1,name,type,Sim2
6433,90002,DCZQAB,大成债券A/B,债券型,DACHENGZHAIQUANAB
6434,90003,DCLCWJHH,大成蓝筹稳健混合,混合型,DACHENGLANCHOUWENJIANHUNHE
6435,90004,DCJXZZHH,大成精选增值混合,混合型,DACHENGJINGXUANZENGZHIHUNHE
6436,90005,DCHBA,大成货币A,货币型,DACHENGHUOBIA
6437,90006,DC2020SMZQHH,大成2020生命周期混合,混合型,DACHENG2020SHENGMINGZHOUQIHUNHE
6438,90007,DCCLHBHH,大成策略回报混合,混合型,DACHENGCELUEHUIBAOHUNHE
6439,90009,DCHYLDHH,大成行业轮动混合,混合型,DACHENGHANGYELUNDONGHUNHE
6440,90010,DCZZHLZSA,大成中证红利指数A,股票指数,DACHENGZHONGZHENGHONGLIZHISHUA
6441,90011,DCHXSDLHH,大成核心双动力混合,混合型,DACHENGHEXINSHUANGDONGLIHUNHE
6442,90012,DCSZCZ40ETFLJ,大成深证成长40ETF联接,联接基金,DACHENGSHENZHENGCHENGZHANG40ETFLIANJIE
6443,90013,DCJZYSHH,大成竞争优势混合,混合型,DACHENGJINGZHENGYOUSHIHUNHE
6444,90015,DCNXZZHHA,大成内需增长混合A,混合型,DACHENGNEIXUZENGZHANGHUNHEA
