,Unnamed: 0,FundCode,Sim1,name,type,Sim2
277,292,381,JSCCJYHBB,景顺长城景益货币B,货币型,JINGSHUNCHANGCHENGJINGYIHUOBIB
278,293,385,JSCCJYSLZQA,景顺长城景颐双利债券A,债券型,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANA
279,294,386,JSCCJYSLZQC,景顺长城景颐双利债券C,债券型,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANC
280,295,389,GFTTHHBA,广发天天红货币A,货币型,GUANGFATIANTIANHONGHUOBIA
281,296,390,HSYSHYHH,华商优势行业混合,混合型,HUASHANGYOUSHIHANGYEHUNHE
282,297,394,RTTYDRZQA,融通通源短融债券A,债券型,RONGTONGTONGYUANDUANRONGZHAIQUANA
283,298,395,HTFAXZGZQA,汇添富安心中国债券A,债券型,HUITIANFUANXINZHONGGUOZHAIQUANA
284,299,396,HTFAXZGZQC,汇添富安心中国债券C,债券型,HUITIANFUANXINZHONGGUOZHAIQUANC
285,300,397,HTFQEBHB,汇添富全额宝货币,货币型,HUITIANFUQUANEBAOHUOBI
286,301,398,HFLHPZHH,华富灵活配置混合,混合型,HUAFULINGHUOPEIZHIHUNHE
289,304,402,GYCZZQA,工银纯债债券A,债券型,GONGYINCHUNZHAIZHAIQUANA
290,305,403,GYCZZQB,工银纯债债券B,债券型,GONGYINCHUNZHAIZHAIQUANB
291,306,404,YFDXXCZLHPZ,易方达新兴成长灵活配置,混合型,YIFANGDAXINXINGCHENGZHANGLINGHUOPEIZHI
292,307,406,HTFSLZQZQA,汇添富双利增强债券A,债券型,HUITIANFUSHUANGLIZENGQIANGZHAIQUANA
293,308,407,HTFSLZQZQC,汇添富双利增强债券C,债券型,HUITIANFUSHUANGLIZENGQIANGZHAIQUANC
294,309,408,MSJYCZHHH,民生加银城镇化混合,混合型,MINSHENGJIAYINCHENGZHENHUAHUNHE
295,310,409,PHHBCYGP,鹏华环保产业股票,股票型,PENGHUAHUANBAOCHANYEGUPIAO
296,311,410,YMFWLXHH,益民服务领先混合,混合型,YIMINFUWULINGXIANHUNHE
297,312,411,JSCCYZCZGP,景顺长城优质成长股票,股票型,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAO
298,313,414,JSJDSYCLDQHH,嘉实绝对收益策略定期混合,混合型,JIASHIJUEDUISHOUYICELUEDINGQIHUNHE
301,316,417,GLAXJXHH,国联安新精选混合,混合型,GUOLIANANXINJINGXUANHUNHE
302,317,418,JSCCCZZXGP,景顺长城成长之星股票,股票型,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAO
303,318,419,DMYZXJCZA,大摩优质信价纯债A,债券型,DAMOYOUZHIXINJIACHUNZHAIA
304,319,420,DMYZXJCZC,大摩优质信价纯债C,债券型,DAMOYOUZHIXINJIACHUNZHAIC
305,320,421,HTBRFHZQA,华泰柏瑞丰汇债券A,债券型,HUATAIBAIRUIFENGHUIZHAIQUANA
306,321,422,HTBRFHZQC,华泰柏瑞丰汇债券C,债券型,HUATAIBAIRUIFENGHUIZHAIQUANC
307,322,423,QHKYSJQDHHA,前海开源事件驱动混合A,混合型,QIANHAIKAIYUANSHIJIANQUDONGHUNHEA
308,323,424,CSTLBHBA,长盛添利宝货币A,货币型,CHANGSHENGTIANLIBAOHUOBIA
309,324,425,CSTLBHBB,长盛添利宝货币B,货币型,CHANGSHENGTIANLIBAOHUOBIB
310,325,428,YFDJYFJZQFQS,易方达聚盈分级债券发起式,债券型,YIFANGDAJUYINGFENJIZHAIQUANFAQISHI
313,328,431,PHPPCCHH,鹏华品牌传承混合,混合型,PENGHUAPINPAICHUANCHENGHUNHE
314,329,432,ZYYXQYHH,中银优秀企业混合,混合型,ZHONGYINYOUXIUQIYEHUNHE
315,330,433,AXXFYXHH,安信鑫发优选混合,混合型,ANXINXINFAYOUXUANHUNHE
316,331,434,XHYNBHBA,新华壹诺宝货币A,货币型,XINHUAYINUOBAOHUOBIA
317,332,435,JXWDTLZQA,建信稳定添利债券A,债券型,JIANXINWENDINGTIANLIZHAIQUANA
318,333,436,YFDYHDKHHFQS,易方达裕惠定开混合发起式,混合型,YIFANGDAYUHUIDINGKAIHUNHEFAQISHI
321,336,439,GJXYHB,国金鑫盈货币,货币型,GUOJINXINYINGHUOBI
322,337,452,NFYYBJLHPZHH,南方医药保健灵活配置混合,混合型,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHE
323,338,457,STMGHXCZGP,上投摩根核心成长股票,股票型,SHANGTOUMOGENHEXINCHENGZHANGGUPIAO
324,339,458,YDLXHBHHFQS,英大领先回报混合发起式,混合型,YINGDALINGXIANHUIBAOHUNHEFAQISHI
325,341,462,NYZTLDHH,农银主题轮动混合,混合型,NONGYINZHUTILUNDONGHUNHE
326,342,463,HSSZFLZQA,华商双债丰利债券A,债券型,HUASHANGSHUANGZHAIFENGLIZHAIQUANA
327,343,464,JSHQBHB,嘉实活期宝货币,货币型,JIASHIHUOQIBAOHUOBI
329,345,466,RTTRZQAB,融通通瑞债券A/B,债券型,RONGTONGTONGRUIZHAIQUANAB
331,348,471,FGCZFZGP,富国城镇发展股票,股票型,FUGUOCHENGZHENFAZHANGUPIAO
332,350,475,GFTTLHBA,广发天天利货币A,货币型,GUANGFATIANTIANLIHUOBIA
333,351,476,GFTTLHBB,广发天天利货币B,货币型,GUANGFATIANTIANLIHUOBIB
334,352,477,GFZTLXHH,广发主题领先混合,混合型,GUANGFAZHUTILINGXIANHUNHE
336,354,480,DFHXDLHH,东方红新动力混合,混合型,DONGFANGHONGXINDONGLIHUNHE
337,355,481,HSSZFLZQC,华商双债丰利债券C,债券型,HUASHANGSHUANGZHAIFENGLIZHAIQUANC
338,356,483,XYHBA,鑫元货币A,货币型,XINYUANHUOBIA
339,357,484,XYHBB,鑫元货币B,货币型,XINYUANHUOBIB
344,362,489,GDSMHLCZA,光大岁末红利纯债A,债券型,GUANGDASUIMOHONGLICHUNZHAIA
345,363,490,GDSMHLCZC,光大岁末红利纯债C,债券型,GUANGDASUIMOHONGLICHUNZHAIC
346,364,493,NFXJTA,南方现金通A,货币型,NANFANGXIANJINTONGA
347,365,494,NFXJTB,南方现金通B,货币型,NANFANGXIANJINTONGB
348,366,495,NFXJTC,南方现金通C,货币型,NANFANGXIANJINTONGC
349,367,496,CACYJXHHA,长安产业精选混合A,混合型,CHANGANCHANYEJINGXUANHUNHEA
350,368,497,CTCZZQA,财通纯债债券A,债券型,CAITONGCHUNZHAIZHAIQUANA
353,371,503,ZXJTJHZDZA,中信建投景和中短债A,债券型,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIA
354,372,504,ZXJTJHZDZC,中信建投景和中短债C,债券型,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIC
355,373,505,GSABHBA,国寿安保货币A,货币型,GUOSHOUANBAOHUOBIA
356,374,506,GSABHBB,国寿安保货币B,货币型,GUOSHOUANBAOHUOBIB
357,375,507,TDHLHDHHA,泰达宏利宏达混合A,混合型,TAIDAHONGLIHONGDAHUNHEA
358,376,508,TDHLHDHHB,泰达宏利宏达混合B,混合型,TAIDAHONGLIHONGDAHUNHEB
359,377,509,GFQDZHBA,广发钱袋子货币A,货币型,GUANGFAQIANDAIZIHUOBIA
361,379,511,GTGCQDLHPZHHA,国泰国策驱动灵活配置混合A,混合型,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEA
363,381,513,FGGDZZHYGP,富国高端制造行业股票,股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAO
366,385,520,SYXXJZCZHH,上银新兴价值成长混合,混合型,SHANGYINXINXINGJIAZHICHENGZHANGHUNHE
368,387,522,HRYDXXCMKJHH,华润元大信息传媒科技混合,混合型,HUARUNYUANDAXINXICHUANMEIKEJIHUNHE
369,388,523,GTRYYLBJHH,国投瑞银医疗保健混合,混合型,GUOTOURUIYINYILIAOBAOJIANHUNHE
370,389,524,STMGMSXQGP,上投摩根民生需求股票,股票型,SHANGTOUMOGENMINSHENGXUQIUGUPIAO
371,390,526,GTNYLHPZHHA,国泰浓益灵活配置混合A,混合型,GUOTAINONGYILINGHUOPEIZHIHUNHEA
372,391,527,NFXYXLHPZHHA,南方新优享灵活配置混合A,混合型,NANFANGXINYOUXIANGLINGHUOPEIZHIHUNHEA
373,392,528,GYXJHBA,工银薪金货币A,货币型,GONGYINXINJINHUOBIA
374,393,529,GFJZYSHH,广发竞争优势混合,混合型,GUANGFAJINGZHENGYOUSHIHUNHE
375,394,530,ZSFSWDZZHHA,招商丰盛稳定增长混合A,混合型,ZHAOSHANGFENGSHENGWENDINGZENGZHANGHUNHEA
